id;name;host_id;host_name;neighbourhood_group;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365;number_of_reviews_ltm;license
24928241;Sara & Danny  Entre Cascais&Sintra  T1+1;181117819;Sara;Sintra;Rio de Mouro;387.567;-935.345;Entire home/apt;75;1;9;29.07.2019;0.23;1;365;1;55201
24934640;Ericeira T1 Navegantes Apartment;70782701;Celia;Mafra;Ericeira;3.896.037;-941.789;Entire home/apt;110;3;9;12.07.2021;0.24;3;102;8;6742/AL
24935408;Ericeira T2 Navegantes Apartment;70782701;Celia;Mafra;Ericeira;3.896.123;-941.581;Entire home/apt;120;3;7;06.05.2021;0.18;3;103;3;6745/AL
24936865;APARTAMENTO BAIRRO ALTO;188525225;Maria;Lisboa;Misericrdia;3.871.036;-915.101;Entire home/apt;55;3;112;04.02.2021;Feb 87;1;104;8;40051/AL
24937270;Manta Azul Tropical;101230038;Assédio Dos Santos;Cascais;Cascais e Estoril;387.289;-944.963;Entire home/apt;60;2;2;22.07.2018;0.05;2;7;0;66801/AL
24937464;The Red Studio - Rustic Home, Beach & Countryside!;67737430;Casas Da Lagoa;Mafra;Santo Isidoro;3.900.498;-939.006;Entire home/apt;55;2;11;31.03.2020;0.30;4;55;1;31724/AL
24939608;Stylish & renovated Eco-flat ´São Vicente V´;2229758;Ulrik;Lisboa;So Vicente;3.871.325;-912.959;Entire home/apt;25;2;101;20.08.2021;Feb 48;12;322;18;82513/AL
24941145;Unique Sao Bento apartment - Ideal for a group;178462407;Hu;Lisboa;Misericrdia;387.144;-915.269;Entire home/apt;298;2;25;19.07.2021;0.82;6;324;3;69759/AL
24942281;Casa Jasmim;188565588;Andreia;Sintra;S.Maria, S.Miguel, S.Martinho, S.Pedro Penaferrim;3.881.652;-939.835;Entire home/apt;75;3;57;24.05.2019;Jan 42;2;0;0;71826/AL
24944252;Quinta do Pé Descalço - Sintra | Ribafria room;188008860;Patricia;Sintra;S.Maria, S.Miguel, S.Martinho, S.Pedro Penaferrim;3.881.648;-938.122;Private room;123;2;1;23.05.2018;0.02;6;347;0;67486/AL
24944443;Elegant Apartment Santana.Rossio!Safe Stay!;188582300;Sofia;Lisboa;Santa Maria Maior;3.871.611;-913.729;Entire home/apt;75;2;63;08.05.2019;Jan 57;2;324;17;83015/AL
24950738;Apartment with 5 bedrooms in Lisboa, with wonderful city view, furnished balcony and WiFi - 8 km from the beach;137500257;Loic, Estelle & Co;Lisboa;Arroios;3.873.119;-913.414;Entire home/apt;131;2;2;24.06.2018;0.06;19;364;0;60474/AL
24952989;CLELIA dos Restauradores;70305938;Paula;Lisboa;Santa Maria Maior;3.871.566;-914.244;Entire home/apt;52;1;64;03.09.2020;Jan 61;7;344;7;70920/AL
24958874;Botanic Balcony;26371519;Joana;Lisboa;Santo Antnio;3.871.661;-914.736;Entire home/apt;116;1;170;29.08.2021;Apr 21;4;324;28;65818/AL
24961263;Baronesa Apartaments 2 - Great Location;8839058;Andreia;Lisboa;So Vicente;3.871.889;-912.946;Entire home/apt;59;2;106;06.09.2021;Feb 83;9;241;19;45222
24963375;Seafront Beach Villa - Unit 2, Cascais;25391913;Portugal Portfolio - Agency;Cascais;Cascais e Estoril;3.869.734;-944.729;Entire home/apt;475;4;9;05.09.2021;9;35;340;5;66253/AL
24963455;HOUZE_Spacious flat in Charming&Historical Lisbon;29444462;Houze;Lisboa;Estrela;3.870.759;-916.477;Entire home/apt;139;3;1;26.06.2018;0.03;23;0;0;71181/AL
24964105;Charmante Chambre au coeur de Lisboa;188728743;Karine;Lisboa;Arroios;3.872.826;-913.372;Private room;55;2;23;28.09.2019;0.57;1;365;0;Exempt
24965184;Lisbon Baronesa Historic Center Apartaments;8839058;Andreia;Lisboa;So Vicente;387.194;-912.878;Entire home/apt;62;2;151;16.08.2021;Mrz 83;9;295;32;45.222AL
24966415;Sampaio 28;160045945;Olga;Lisboa;Santo Antnio;3.872.057;-914.428;Entire home/apt;120;3;33;26.03.2020;0.83;2;209;3;65243/AL
24968687;RENOVATED APARTMENT - LISBON-BAIRRO ALTO - w AC;169576758;Ana And Pedro;Lisboa;Misericrdia;3.871.511;-914.506;Entire home/apt;76;25;5;21.03.2020;0.24;2;227;0;58283/AL
24968697;SANTA CRUZ - FLAT SEA;188759157;Luís;Torres Vedras;A dos Cunhados e Maceira;3.913.911;-937.634;Entire home/apt;80;3;27;08.08.2020;0.69;1;77;0;71132/AL
24968836;Plus Duplex Flat near Chiado for Short/ Mid Rental;188757993;Marce And Jack;Lisboa;Misericrdia;3.870.904;-915.089;Entire home/apt;125;2;52;13.01.2020;Jan 41;3;107;4;73582/AL
24973754;Best location downtown w/ balcony by the beach;15925366;Tom-Isabel;Mafra;Ericeira;3.896.572;-941.836;Entire home/apt;507;1;12;14.09.2021;0.32;7;119;3;Exempt
24976355;Private Room/ Studio with Toilet and Kitchenette;2760235;Henrique;Lisboa;Beato;3.873.492;-912.158;Private room;16;25;46;12.07.2018;Jan 17;1;47;0;Exempt
24979819;MY LX FLAT Baixa Alfama 3;17125483;Patrícia;Lisboa;Santa Maria Maior;3.870.867;-913.174;Entire home/apt;147;2;128;06.09.2021;Mrz 23;27;354;28;64389/AL
24980423;Lux Baixa Flat – Historical Center near Tejo River;3953109;Feels Like Home;Lisboa;Santa Maria Maior;3.870.985;-913.507;Entire home/apt;91;2;45;17.02.2020;Jan 14;275;242;3;66826/AL
24984978;Castle Views from the Dining Table at a Chic Modern Pad;144152589;Olivier;Lisboa;Arroios;3.871.551;-913.782;Entire home/apt;147;1;59;03.02.2020;Jan 49;27;320;5;81366/AL
