id;name;host_id;host_name;neighbourhood_group;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365;number_of_reviews_ltm;license
26376334;Intendente TWIN 403;198206690;Ines;Lisboa;Arroios;3.872.023;-913.748;Private room;28;1;39;14.09.2021;0.97;9;0;9;79977/AL
26376425;Intendente BUNK 204;198206690;Ines;Lisboa;Arroios;3.872.023;-913.748;Private room;10;1;34;04.09.2021;0.84;9;0;3;79978/AL
26377228;Casa Almada - Prime Location Luxury for Family and Friends;4183642;Susan;Lisboa;Santa Maria Maior;3.871.034;-913.481;Entire home/apt;177;1;81;29.11.2021;Jan 94;2;294;11;73957/AL
26377335;Madragoa Cosy Apartment;11533191;Ricardo;Lisboa;Estrela;3.870.944;-915.336;Entire home/apt;104;2;2;06.11.2020;0.15;1;358;0;26735/AL
26379131;Nice Apartment with barbecue  in Mouraria Room 1;145101539;Sergio Raul;Lisboa;Santa Maria Maior;3.871.577;-913.254;Private room;30;1;47;21.09.2021;Jan 15;23;58;6;81576/AL
26381551;Nice Apartment with barbecue in Mouraria Room 2;145101539;Sergio Raul;Lisboa;Santa Maria Maior;3.871.577;-913.254;Private room;30;2;49;17.10.2021;Jan 19;23;60;5;81576/AL
26383493;Casa da Paula;178431026;Paula;Lisboa;Parque das Naes;3.877.414;-910.477;Entire home/apt;35;3;49;02.03.2020;Jan 19;1;0;0;Exempt
26383768;Top of the world @ downtown by Upperground;101542522;Upperground;Lisboa;Santa Maria Maior;3.870.994;-913.509;Entire home/apt;120;2;142;30.11.2020;Mrz 44;11;0;0;76443/AL
26384678;❤CHARMING GRACA 2 BEDROOM APARTMENT ❤ SEA VIEW❤;10795112;Fabiola & Sean;Lisboa;So Vicente;3.871.994;-912.505;Entire home/apt;32;1;170;07.12.2021;04. Okt;1;114;35;Exempt
26388741;Pura Lisboa - Apt T1 com Garagem;198428661;Rui;Lisboa;Misericrdia;3.871.091;-915.227;Entire home/apt;80;3;43;04.07.2020;01. Apr;1;248;0;74166/AL
26395402;Apartamento com decoração sofisticada perto da praia;144502758;Fernando;Cascais;Cascais e Estoril;3.870.161;-938.595;Entire home/apt;65;2;67;30.10.2021;Jan 64;3;269;18;53585/AL
26395825;Downtown Amazing Flat I;3953109;Feels Like Home;Lisboa;Santa Maria Maior;3.870.858;-913.605;Entire home/apt;65;2;21;28.06.2021;0.51;281;0;1;71523/AL
26396316;Downtown Amazing Flat II;3953109;Feels Like Home;Lisboa;Santa Maria Maior;3.870.828;-913.781;Entire home/apt;113;2;17;28.10.2021;0.42;281;331;3;71524/AL
26417770;Antero de Quental 28;198641646;Lionel;Lisboa;Arroios;3.872.346;-913.671;Entire home/apt;67;3;64;23.06.2021;Jan 54;1;341;4;74648/AL
26418429;Sea Wolf Apart. Walking is better!;198646122;Vinícius;Mafra;Ericeira;3.896.892;-941.793;Entire home/apt;72;3;22;07.11.2021;0.57;1;315;11;74157/AL
